title,category,start_datetime_local,end_datetime_local,location_name,address_text,city,source,source_url,scraped_at,start_dt,end_dt,start_date,start_hour
Tempio festival 2025,,2025-09-18T00:00:00+02:00,,Tempio del Futuro Perduto,"Via Luigi Nono, 7, Milano, Cenisio Monumentale",Milan,milanotoday,https://www.milanotoday.it/eventi/tempio-festival-2025.html,2025-12-22T16:53:23.612857+01:00,2025-09-18 00:00:00+02:00,,2025-09-18,0.0
Tempo per le mani: l'imperdibile workshop dedicato al mondo garden e all’Intelligenza Manuale,Tempo per le mani,,,,,Milan,milanotoday,https://www.milanotoday.it/eventi/tempo-per-le-mani-workshop.html,2025-12-22T16:53:26.584505+01:00,,,,
"""The beaty and the bane"" mostra fotografica di Antonio Schiavano",,2025-01-12T00:00:00+01:00,,Binda 19,"Via Ambrogio Binda, 19, Milano, Barona",Milan,milanotoday,https://www.milanotoday.it/eventi/the-beaty-and-the-bane-mostra-fotografica-di-antonio-schiavano-antonio-schiavano.html,2025-12-22T16:53:29.292898+01:00,2025-01-12 00:00:00+01:00,,2025-01-12,0.0
The Prism Way: l'inedita esperienza meditativa da oggi anche al The Prism Core Center,The Prism Center,2025-03-02T00:00:00+01:00,,,"Piazza Napoli, 22, Milano, Lorenteggio",Milan,milanotoday,https://www.milanotoday.it/eventi/the-prism-center.html,2025-12-22T16:53:32.298815+01:00,2025-03-02 00:00:00+01:00,,2025-03-02,0.0
the white buffalo – a settembre (8.09) – milano – magnolia summer (+ giorgio canali),,2025-08-09T00:00:00+02:00,,Circolo Magnolia,"Via Circonvallazione Idroscalo, 41, Milano, ",Milan,milanotoday,https://www.milanotoday.it/eventi/the-white-buffalo-a-settembre-8-09-milano-magnolia-summer-giorgio-canali-the-white-buffalo.html,2025-12-22T16:53:35.732526+01:00,2025-08-09 00:00:00+02:00,,2025-08-09,0.0
Théo Viardin / Lou Jaworski - Unveiling the unknown,,2025-02-04T00:00:00+01:00,,TEMPESTA Gallery,"Foro Buonaparte, 68, Milano, Castello",Milan,milanotoday,https://www.milanotoday.it/eventi/theo-viardin-lou-jaworski-unveiling-the-unknown-theo-viardin-and-lou-jaworski.html,2025-12-22T16:53:38.690135+01:00,2025-02-04 00:00:00+01:00,,2025-02-04,0.0
"'This is Indie', la festa da Base con le canzoni degli amori estivi",Base,2025-06-21T00:00:00+02:00,,Base Milano,"Via Ambrogio Bergognone da Fossano, 34, Milano, Tortona",Milan,milanotoday,https://www.milanotoday.it/eventi/this-is-indie-festa-musica-base.html,2025-12-22T16:53:41.779576+01:00,2025-06-21 00:00:00+02:00,,2025-06-21,0.0
Ti porto al Parri: festival di storia,,2025-05-10T00:00:00+02:00,,Casa della Memoria,"Via Federico Confalonieri, 14, Milano, Isola",Milan,milanotoday,https://www.milanotoday.it/eventi/ti-porto-al-parri-festival-di-storia.html,2025-12-22T16:53:43.914282+01:00,2025-05-10 00:00:00+02:00,,2025-05-10,0.0
Tigri da Soggiorno in concerto al Q-HUB di Milano sabato 29 novembre,,2025-11-29T00:00:00+01:00,,Q-HUB,"Via Mecenate, 76B, Milano, Taliedo",Milan,milanotoday,https://www.milanotoday.it/eventi/tigri-da-soggiorno-in-concerto-al-q-hub-di-milano-sabato-29-novembre-tigri-da-soggiorno.html,2025-12-22T16:53:46.407816+01:00,2025-11-29 00:00:00+01:00,,2025-11-29,0.0
Tintoria live con Maurizio Nichetti,,2025-12-19T00:00:00+01:00,,Cattedrale della Fabbrica del Vapore,"Via Giulio Cesare Procaccini, 4, Milano, Cenisio Monumentale",Milan,milanotoday,https://www.milanotoday.it/eventi/tintoria-live-con-maurizio-nichetti.html,2025-12-22T16:53:49.487048+01:00,2025-12-19 00:00:00+01:00,,2025-12-19,0.0
