timestamp,temperature_2m,precipitation,windspeed_10m,humidity
2025-12-06 06:00:00,2.7,0.0,4.8,99
2025-12-06 07:00:00,2.3,0.0,5.8,100
2025-12-06 08:00:00,2.7,0.0,4.8,97
2025-12-06 09:00:00,4.1,0.0,6.3,93
2025-12-06 10:00:00,5.3,0.0,9.2,85
2025-12-06 11:00:00,6.9,0.0,7.9,84
2025-12-06 12:00:00,7.8,0.0,10.2,76
2025-12-06 13:00:00,8.7,0.0,8.7,77
2025-12-06 14:00:00,9.1,0.0,7.1,76
2025-12-06 15:00:00,8.3,0.0,8.6,81
2025-12-06 16:00:00,7.2,0.0,6.3,87
2025-12-06 17:00:00,6.4,0.0,7.2,89
2025-12-06 18:00:00,5.4,0.0,7.2,89
2025-12-06 19:00:00,4.7,0.0,5.8,91
2025-12-06 20:00:00,4.2,0.0,6.2,92
2025-12-06 21:00:00,3.6,0.0,4.1,95
2025-12-06 22:00:00,3.6,0.0,4.0,94
2025-12-06 23:00:00,3.5,0.0,2.5,92
2025-12-07 00:00:00,3.0,0.0,4.7,94
2025-12-07 01:00:00,3.1,0.0,1.6,93
2025-12-07 02:00:00,2.9,0.0,3.1,93
2025-12-07 03:00:00,2.0,0.0,1.5,100
2025-12-07 04:00:00,1.7,0.0,0.4,100
2025-12-07 05:00:00,1.2,0.0,1.1,100
2025-12-07 06:00:00,1.6,0.0,4.3,100
2025-12-07 07:00:00,1.2,0.0,2.5,100
2025-12-07 08:00:00,1.2,0.0,4.1,100
2025-12-07 09:00:00,3.3,0.0,1.8,98
2025-12-07 10:00:00,5.1,0.0,2.5,92
2025-12-07 11:00:00,6.9,0.0,5.1,82
2025-12-07 12:00:00,7.5,0.0,5.4,79
2025-12-07 13:00:00,8.6,0.0,5.8,78
2025-12-07 14:00:00,9.0,0.0,5.9,76
2025-12-07 15:00:00,9.5,0.0,4.0,79
2025-12-07 16:00:00,7.8,0.0,7.9,90
2025-12-07 17:00:00,6.9,0.0,7.8,90
2025-12-07 18:00:00,6.3,0.0,5.5,90
2025-12-07 19:00:00,5.7,0.0,6.8,91
2025-12-07 20:00:00,5.1,0.0,6.6,92
2025-12-07 21:00:00,4.5,0.0,5.9,89
2025-12-07 22:00:00,4.3,0.0,5.9,88
2025-12-07 23:00:00,3.9,0.0,5.1,89
2025-12-08 00:00:00,3.2,0.0,5.1,91
2025-12-08 01:00:00,2.8,0.0,4.4,89
2025-12-08 02:00:00,2.7,0.0,5.2,86
2025-12-08 03:00:00,2.1,0.0,6.6,89
2025-12-08 04:00:00,2.2,0.0,6.1,91
2025-12-08 05:00:00,2.2,0.0,5.4,87
2025-12-08 06:00:00,2.3,0.0,4.0,90
2025-12-08 07:00:00,1.8,0.0,7.0,86
2025-12-08 08:00:00,2.6,0.0,7.1,89
2025-12-08 09:00:00,4.4,0.0,6.1,84
2025-12-08 10:00:00,6.6,0.0,4.7,75
2025-12-08 11:00:00,8.3,0.0,5.5,69
2025-12-08 12:00:00,10.1,0.0,2.9,58
