station_id,name,lat,lon,num_bikes_available,num_docks_available,num_vehicles_available,collection_timestamp,timestamp,temperature_2m,precipitation,windspeed_10m,humidity,time_delta_minutes
2180,304 - Adamello - Lorenzini,45.443514101109,9.203085708722938,12,17,12,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2223,383 - Angilberto - Comacchio,45.43697741283822,9.217861220551782,11,24,11,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2225,341 - Cuoco - Monte Cimone,45.450499246255,9.22483993199514,20,10,20,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2247,274 - Passerini Belloveso,45.51543961377326,9.193499962296183,14,16,14,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2249,376 - Tirana - San Cristoforo,45.443207285664045,9.130320445665744,26,9,26,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2250,377 - Inganni - Lorenteggio,45.447323784397895,9.12786200617444,9,15,9,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2251,379 - Inganni - Corba,45.450949690897374,9.125978599462885,10,20,10,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2252,356 - Giambellino - Odazio,45.44714020889242,9.1352729970192,18,11,18,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2253,373 - Brunelleschi - Giambellino,45.44881139100968,9.144573636957375,16,7,16,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2254,382 - Ciclamini - Palazzo Del Ghiaccio,45.45442249822776,9.128908618100752,12,16,12,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2246,364 - Fezzan - Caterina da Forlì,45.4597611323961,9.1461441574621,25,4,25,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
